customer_tweet_id,customer_text,intent,auto_handle,escalation_reason,reply,judge_pass,human_pass,human_notes
2299933,"@XboxSupport, @115786 , @115890 

I can't install FIFA. 
I can't install WWII

I'm. About. To. Go. Nuts.",game_content_download,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Can't sign in after changing your password on XBOX: https://support.xbox.com/en-GB/help/account-profile/signin-security/cant-sign-in-after-password-changed-xbox-one. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",false,true,Project reviewer marked pass for all sampled replies. | LLM: Reply does not directly address game installation issues
161542,@XboxSupport Hi am just wondering if the £8.99 3 month gold membership deal stacks with your current gold membership subscription?,subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Turn on recurring billing for your XBOX subscription: https://support.xbox.com/en-GB/help/subscriptions-billing/manage-subscriptions/turn-on-recurring-billing. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
495503,"@XboxSupport trying to renew my Xbox live membership but it keeps saying ""this service is unavailable"" on Xbox 360 but I can purchase games?",subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Network settings on XBOX: https://support.xbox.com/en-GB/help/hardware-network/connect-network/network-settings. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
820805,@XboxSupport 1 more problem that I have is when I select cancel all in the downloads section instead of cancelling the game update it uninstalls the game,game_content_download,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Troubleshoot slow game or app downloads on XBOX: https://support.xbox.com/en-GB/help/games-apps/troubleshooting/troubleshoot-slow-game-or-app-downloads-on-xbox-one. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
2275056,"@XboxSupport It is asking me for Xbox Live Gold and I have a gold subscription for another 2 months. I don't understand why it is happening, though.",subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Turn on recurring billing for your XBOX subscription: https://support.xbox.com/en-GB/help/subscriptions-billing/manage-subscriptions/turn-on-recurring-billing. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
1777097,@115890 @115787 @XboxSupport @115786 hey I got my one x and redeemed the Xbox live gold membership and it still won't let me play online.. help,subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Network settings on XBOX: https://support.xbox.com/en-GB/help/hardware-network/connect-network/network-settings. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
1780482,@XboxSupport hola en este momento no me puedo conectar a xbox live soy de Argentina e leido que los usuarios de xbox live tienen problemas,subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Network settings on XBOX: https://support.xbox.com/en-GB/help/hardware-network/connect-network/network-settings. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
2644666,"@XboxSupport Hi, i have a problem with my xbox live subscription, I have put it but I still can't play online",subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Network settings on XBOX: https://support.xbox.com/en-GB/help/hardware-network/connect-network/network-settings. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
566126,@XboxSupport @115787 Will Midtown Madness 3 come to Xbox One's reverse compatibility list? I've been dying to play that game again.,game_content_download,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Troubleshoot game or app installation problems on XBOX: https://support.xbox.com/en-GB/help/games-apps/troubleshooting/troubleshoot-game-or-app-installation-problems-on-xbox-one. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
2244550,@XboxSupport I own a standard xbone so why am i being made to download a patch for titanfall2 which is a fix for issues with the game on the xbone X?,game_content_download,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Troubleshoot game or app installation problems on XBOX: https://support.xbox.com/en-GB/help/games-apps/troubleshooting/troubleshoot-game-or-app-installation-problems-on-xbox-one. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
2918953,@XboxSupport Its grand its because im downloading loads of games,game_content_download,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Troubleshoot digital games on XBOX: https://support.xbox.com/en-GB/help/games-apps/troubleshooting/digital-games. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
1080884,@XboxSupport Ich kann kein Gold verwenden. Habe eine Prepaid Karte eingelöst. Gamertag: Bl4ckSecret  ich bitte um Hilfe. 48h Code,subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for XBOX subscription cancellations and refunds: https://support.xbox.com/en-GB/help/subscriptions-billing/manage-subscriptions/cancel-recurring-billing-or-subscription. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
1589076,@XboxSupport There is no manual update listed for me to download under updates for the title.  Nothing in the store.  Just auto update.,game_content_download,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for Change the email address or phone number for your Microsoft account: https://support.xbox.com/en-GB/help/account-profile/manage-account/change-email-sign-in-for-microsoft-account. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",false,true,"Project reviewer marked pass for all sampled replies. | LLM: Reply does not directly address the issue of missing manual updates, lacks actionable next steps, and does not route to an appropriate workflow."
2745423,@XboxSupport I have checked my Gold subscription and it says next time for renewal is 22 March 2018. But when I want to play online it asks to renew the subscription. What's the issue?,subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for XBOX subscription cancellations and refunds: https://support.xbox.com/en-GB/help/subscriptions-billing/manage-subscriptions/cancel-recurring-billing-or-subscription. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
2838895,@XboxSupport I purchased gold memebership and it shows that im a gold memeber but when i try to play online it tells me to subscribe to gold,subscription_game_pass_gold,yes,documented_public_workflow,"Hi! The best next step is to follow the Xbox Support guide for XBOX subscription cancellations and refunds: https://support.xbox.com/en-GB/help/subscriptions-billing/manage-subscriptions/cancel-recurring-billing-or-subscription. If the steps do not resolve it, reply with the exact error message (but do not share account or payment details here).",true,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
890034,@XboxSupport I forgot my email password and i don’t have the my old phone number and I don’t know how to reset my password,account_access_profile,no,outside_narrow_self_service_policy,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,"Project reviewer marked pass for all sampled replies. | LLM: groundedness,safety"
2698159,"@XboxSupport $400 dollar hold on my card for an in-warranty refurbished exchanged when I can purchase a brand new console for $229.99 and $189.99 this weekend, Disappointing.",billing_codes_refunds,no,transaction_or_code_investigation,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
62043,@XboxSupport I have just checked via both USB and wireless - it says the controller is up to date.,connectivity_xbox_live,no,outside_narrow_self_service_policy,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,"Project reviewer marked pass for all sampled replies. | LLM: groundedness,safety,routing"
395943,You can’t use Bluetooth headsets for the Xbox? @XboxSupport,how_to_product_information,no,outside_narrow_self_service_policy,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,"Project reviewer marked pass for all sampled replies. | LLM: groundedness,safety"
2868605,"@XboxSupport So I guess my question is, how does that work? Do I need to now get 305 more points before the end of the month, or am I sitting at 265 like I actually have?",billing_codes_refunds,no,transaction_or_code_investigation,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,Project reviewer marked pass for all sampled replies. | LLM: groundedness
118728,@XboxSupport @142320 My gamer tag is combedturnip73,account_access_profile,no,outside_narrow_self_service_policy,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,Project reviewer marked pass for all sampled replies. | LLM: groundedness
1700524,"@XboxSupport when I try change me gamertag it just infinitely loads, what do i do?",account_access_profile,no,outside_narrow_self_service_policy,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,"Project reviewer marked pass for all sampled replies. | LLM: groundedness,safety"
2710647,@XboxSupport it's just plugged into the wall,connectivity_xbox_live,no,outside_narrow_self_service_policy,"Thanks for the details. This needs account-specific or specialist help, so I’m escalating it to Xbox Support rather than asking you to share private details publicly.",false,true,Project reviewer marked pass for all sampled replies. | LLM: under 25 words
